Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,Unhealthy
2015-01-01,Palwancha,114.56462242368474,365.13622971362446,96.11033204466943,52.09769675355497,4.104570418038862,66.77258217582218,172.80193096133155,Unhealthy for Sensitive Groups,1
2015-01-02,Palwancha,109.6414082134328,270.4887995334146,103.07235484154499,63.36439514921618,0.10119037872911239,166.01395985218414,152.94033324016118,Unhealthy for Sensitive Groups,1
2015-01-03,Palwancha,138.1704509729272,67.31545673940178,10.648887720527313,7.777842762414924,0.6088129919435451,174.87200411552882,83.83424308418662,Moderate,0
2015-01-04,Palwancha,170.73464462045874,129.81440263829563,61.46151805169666,22.47567113279044,1.5871996119027463,83.72936131109871,119.49050280873794,Moderate,0
2015-01-05,Palwancha,37.93159585004869,16.609589306936588,91.32812367274654,25.615873394159152,1.2625463819199727,196.58847832941294,61.08948663061619,Moderate,0
2015-01-06,Palwancha,135.13653436025285,315.6579179193422,12.147701450840383,39.84993712348481,2.392231818982962,89.02414125721604,145.32862954119577,Unhealthy for Sensitive Groups,1
2015-01-07,Palwancha,117.56445825946673,223.21131600813075,96.81090785988698,41.30332614971933,3.853526907644553,11.586450127616235,117.44154459754205,Moderate,0
2015-01-08,Palwancha,183.34513020857247,47.190759296471384,87.19447282764374,63.14829641163159,1.6915146853637668,62.380320411513054,101.962249602563,Moderate,0
2015-01-09,Palwancha,120.69265666467757,158.3638029279493,11.524539079136533,3.6496862212544703,4.432801352251875,53.130246874299914,82.27658132298721,Moderate,0
2015-01-10,Palwancha,184.06253142489285,19.202036211756358,138.50025311289983,24.713323489736684,2.52901334938355,56.04188874680107,103.61361869159352,Moderate,0
2015-01-11,Palwancha,33.43779692419447,277.77006626211664,98.37370401990397,41.6790667688688,2.2158449938509692,141.85850059396236,118.3405222703963,Moderate,0
2015-01-12,Palwancha,47.65678715685066,29.636315518047766,96.30412131258443,22.04227936166065,4.9332726409815715,15.736482914065839,34.601128361094496,Good,0
2015-01-13,Palwancha,167.90337249936843,188.7462018891544,32.05556404660929,27.39532833648289,0.6180503461125609,145.97853122328962,141.472489610372,Unhealthy for Sensitive Groups,1
2015-01-14,Palwancha,50.289341603754124,41.87288484124352,34.22161481091536,75.02071724097773,0.7793973926551883,197.18939192310782,72.64661441761257,Moderate,0
2015-01-15,Palwancha,161.20158048202723,266.1442408424747,92.86956025429869,18.06707836670091,3.6754242268714825,89.18232151857009,143.81749136634943,Unhealthy for Sensitive Groups,1
2015-01-16,Palwancha,205.21943904929788,349.7697480825903,23.607250017370855,63.466741666851725,1.280881664179998,171.33512711781702,178.91005459055066,Unhealthy for Sensitive Groups,1
2015-01-17,Palwancha,13.859293228566719,310.08506869199834,112.54419870381436,7.633889165253272,1.5079186328154826,78.24674645394448,99.66782370883952,Moderate,0
2015-01-18,Palwancha,21.702215799445923,21.740510162414388,49.872073584696444,54.89355511985842,2.804889044248691,73.62282068980642,36.247628761115706,Good,0
2015-01-19,Palwancha,88.56125600731333,129.0711639117252,63.39203954421123,48.29272043410441,0.1332620527155899,139.07016640957517,85.81862486457753,Moderate,0
2015-01-20,Palwancha,162.60561351837652,174.59336144977922,92.6321013586418,38.32659505806481,0.7497595546593743,178.6731667886574,145.77904468809152,Unhealthy for Sensitive Groups,1
2015-01-21,Palwancha,34.76783719372493,388.74885387363145,35.66847864585637,66.90867139087123,4.255061297231693,181.57020617878428,140.0057557813114,Unhealthy for Sensitive Groups,1
2015-01-22,Palwancha,83.41215225249988,274.0770494966537,148.47827334072676,6.661457385913985,2.326965391481248,194.86570227985794,128.50587782810584,Unhealthy for Sensitive Groups,1
2015-01-23,Palwancha,160.12208702053547,229.7292621487031,24.670912738254774,56.9070600286922,4.776793704779644,191.10373226999644,145.39777285461236,Unhealthy for Sensitive Groups,1
